,Date,GS,^GSPC,moving_avg_20,moving_avg_50
0,2020-09-28,199.07000732421875,3351.60009765625,199.75399856567384,203.0222003173828
1,2020-09-29,196.7899932861328,3335.469970703125,199.3499984741211,202.72380004882814
2,2020-09-30,200.97000122070312,3363.0,199.1254981994629,202.50279998779297
3,2020-10-01,198.5500030517578,3380.800048828125,198.55099868774414,202.35380004882813
4,2020-10-02,199.8999938964844,3348.419921875,198.16799850463866,202.2913998413086
5,2020-10-05,201.8000030517578,3408.60009765625,197.71099853515625,202.2979998779297
6,2020-10-06,201.08999633789062,3360.969970703125,197.64149856567383,202.25939971923827
7,2020-10-07,203.6000061035156,3419.43994140625,197.71049880981445,202.29899993896484
8,2020-10-08,207.97999572753903,3446.830078125,198.1089988708496,202.40699981689454
9,2020-10-09,207.5399932861328,3477.139892578125,198.43999862670898,202.56719970703125
10,2020-10-12,214.1199951171875,3534.219970703125,199.07899856567383,202.89039947509767
11,2020-10-13,210.80999755859372,3511.929931640625,199.71949844360353,203.11879943847657
12,2020-10-14,211.22999572753903,3488.669921875,200.24699859619142,203.31059936523437
13,2020-10-15,208.6000061035156,3483.340087890625,200.93549880981445,203.39219940185546
14,2020-10-16,206.2100067138672,3483.81005859375,201.50299911499025,203.4313995361328
15,2020-10-19,205.69000244140625,3426.919921875,202.08749923706054,203.3797994995117
16,2020-10-20,208.02999877929688,3443.1201171875,202.90799942016602,203.3527993774414
17,2020-10-21,202.91000366210938,3435.56005859375,203.74749984741212,203.1897994995117
18,2020-10-22,205.3999938964844,3453.489990234375,204.26199951171876,203.05519927978514
19,2020-10-23,205.0399932861328,3465.389892578125,204.7664993286133,202.98819915771483
20,2020-10-26,201.13999938964844,3400.969970703125,204.86999893188477,202.85159912109376
21,2020-10-27,195.67999267578125,3390.679931640625,204.8144989013672,202.703798828125
22,2020-10-28,189.7700042724609,3271.030029296875,204.25449905395507,202.47299896240236
23,2020-10-29,189.94000244140625,3310.110107421875,203.8239990234375,202.21139892578125
24,2020-10-30,189.0399932861328,3269.9599609375,203.28099899291993,201.9551986694336
25,2020-11-02,190.1999969482422,3310.239990234375,202.70099868774415,201.71059875488282
26,2020-11-03,197.92999267578125,3369.159912109375,202.54299850463866,201.52239868164062
27,2020-11-04,197.8699951171875,3443.43994140625,202.25649795532226,201.35979858398437
28,2020-11-05,202.9600067138672,3510.449951171875,202.00549850463867,201.27459869384765
29,2020-11-06,201.25999450683597,3509.43994140625,201.69149856567384,201.0967987060547
30,2020-11-09,214.92999267578125,3550.5,201.73199844360352,201.24119842529296
31,2020-11-10,217.47000122070312,3545.530029296875,202.06499862670898,201.49319854736328
32,2020-11-11,218.0500030517578,3572.659912109375,202.40599899291993,201.7449984741211
33,2020-11-12,214.50999450683597,3537.010009765625,202.70149841308594,201.83439849853517
34,2020-11-13,219.0800018310547,3585.14990234375,203.34499816894532,202.06479858398438
35,2020-11-16,222.3800048828125,3626.909912109375,204.17949829101562,202.2935986328125
36,2020-11-17,224.6499938964844,3609.530029296875,205.010498046875,202.7369985961914
37,2020-11-18,224.3000030517578,3567.7900390625,206.07999801635742,203.1785986328125
38,2020-11-19,224.57000732421875,3581.8701171875,207.03849868774415,203.66979888916015
39,2020-11-20,223.3500061035156,3557.5400390625,207.9539993286133,204.11839904785157
40,2020-11-23,228.8300018310547,3577.590087890625,209.3384994506836,204.66819915771484
41,2020-11-24,237.5,3635.409912109375,211.42949981689452,205.45819915771483
42,2020-11-25,236.5399932861328,3629.64990234375,213.76799926757812,206.1753991699219
43,2020-11-27,235.3999938964844,3638.35009765625,216.04099884033204,206.98679901123046
44,2020-11-30,230.5800018310547,3621.6298828125,218.1179992675781,207.70119903564452
45,2020-12-01,232.0800018310547,3662.449951171875,220.21199951171874,208.46279907226562
46,2020-12-02,237.6499938964844,3669.010009765625,222.1979995727539,209.38339904785155
47,2020-12-03,235.47000122070312,3666.719970703125,224.0779998779297,210.37039916992188
48,2020-12-04,239.5800018310547,3699.1201171875,225.90899963378905,211.25979919433593
49,2020-12-07,238.4499969482422,3691.9599609375,227.76849975585938,212.12979919433593
50,2020-12-08,238.83999633789062,3702.25,228.96399993896483,212.92519897460937
51,2020-12-09,242.82000732421875,3672.820068359375,230.23150024414062,213.8457992553711
52,2020-12-10,244.3999938964844,3668.10009765625,231.54899978637695,214.7143991088867
53,2020-12-11,239.9900054931641,3663.4599609375,232.82300033569337,215.54319915771484
54,2020-12-14,237.7899932861328,3647.489990234375,233.75849990844728,216.3009991455078
55,2020-12-15,242.42999267578125,3694.6201171875,234.7609992980957,217.1135989379883
56,2020-12-16,243.7700042724609,3701.169921875,235.71699981689454,217.96719909667968
57,2020-12-17,244.42999267578125,3722.47998046875,236.7234992980957,218.783798828125
58,2020-12-18,242.1300048828125,3709.409912109375,237.60149917602538,219.46679901123048
59,2020-12-21,256.98001098632807,3694.919921875,239.28299942016602,220.45559936523438
60,2020-12-22,250.08999633789062,3687.260009765625,240.34599914550782,221.17499938964843
61,2020-12-23,256.45001220703125,3690.010009765625,241.2934997558594,222.08779968261717
62,2020-12-24,256.16000366210943,3703.06005859375,242.2745002746582,222.98639984130858
63,2020-12-28,259.58999633789057,3735.360107421875,243.4840003967285,224.0061996459961
64,2020-12-29,258.010009765625,3727.0400390625,244.85550079345703,225.04219970703124
65,2020-12-30,259.45001220703125,3732.0400390625,246.22400131225587,226.11739990234375
66,2020-12-31,263.70999145507807,3756.070068359375,247.52700119018556,227.2309997558594
67,2021-01-04,265.0,3700.64990234375,249.00350112915038,228.4727996826172
