,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,AXP,^GSPC,AXP,^GSPC,AXP,^GSPC,AXP,^GSPC,AXP,^GSPC,AXP,^GSPC
Date,,,,,,,,,,,,
2020-06-29,92.8521957397461,3053.239990234375,94.5199966430664,3053.239990234375,95.41000366210938,3053.889892578125,93.33999633789062,2999.739990234375,94.44000244140625,3018.590087890625,4962400,4462770000
2020-06-30,93.52019500732422,3100.2900390625,95.19999694824219,3100.2900390625,95.5999984741211,3111.510009765625,93.56999969482422,3047.830078125,94.16000366210938,3050.199951171875,4367100,4696280000
2020-07-01,92.8096923828125,3115.860107421875,94.05000305175781,3115.860107421875,96.95999908447266,3128.43994140625,93.63999938964844,3101.169921875,95.25,3105.919921875,3301000,4443130000
2020-07-02,93.08599853515625,3130.010009765625,94.33000183105469,3130.010009765625,97.29000091552734,3165.81005859375,93.8499984741211,3124.52001953125,96.7699966430664,3143.639892578125,4239700,4190830000
2020-07-06,95.30632781982422,3179.719970703125,96.58000183105469,3179.719970703125,97.9000015258789,3182.590087890625,95.83999633789062,3155.2900390625,96.51000213623047,3155.2900390625,4059600,4736450000
2020-07-07,91.78340911865234,3145.320068359375,93.01000213623047,3145.320068359375,95.5199966430664,3184.14990234375,92.62999725341797,3142.929931640625,95.44000244140625,3166.43994140625,5564200,4563700000
2020-07-08,91.67485809326172,3169.93994140625,92.9000015258789,3169.93994140625,93.0999984741211,3171.800048828125,90.70999908447266,3136.530029296875,91.97000122070312,3153.070068359375,6382100,4927700000
2020-07-09,89.3755874633789,3152.050048828125,90.56999969482422,3152.050048828125,93.20999908447266,3179.780029296875,89.58000183105469,3115.699951171875,92.51000213623047,3176.169921875,4484500,4829020000
2020-07-10,92.0005111694336,3185.0400390625,93.2300033569336,3185.0400390625,93.30999755859375,3186.820068359375,89.81999969482422,3136.219970703125,90.31999969482422,3152.469970703125,4400900,4515340000
2020-07-13,92.3261489868164,3155.219970703125,93.55999755859375,3155.219970703125,95.76000213623047,3235.320068359375,92.77999877929688,3149.429931640625,94.23999786376953,3205.080078125,4819700,4890780000
2020-07-14,93.58927154541016,3197.52001953125,94.83999633789062,3197.52001953125,95.22000122070312,3200.949951171875,92.29000091552734,3127.659912109375,93.19000244140625,3141.110107421875,4044400,4476170000
2020-07-15,96.07603454589844,3226.56005859375,97.36000061035156,3226.56005859375,97.77999877929688,3238.280029296875,96.38999938964844,3200.760009765625,96.66000366210938,3225.97998046875,5405600,4669760000
2020-07-16,95.04975891113281,3215.570068359375,96.31999969482422,3215.570068359375,97.79000091552734,3220.389892578125,95.66999816894531,3198.590087890625,96.5,3208.360107421875,2666000,3961230000
2020-07-17,93.92479705810547,3224.72998046875,95.18000030517578,3224.72998046875,96.52999877929688,3233.52001953125,95.01000213623047,3205.64990234375,96.3499984741211,3224.2099609375,2861600,3993830000
2020-07-20,92.7603530883789,3251.840087890625,94.0,3251.840087890625,95.36000061035156,3258.610107421875,93.58000183105469,3215.159912109375,94.80000305175781,3224.2900390625,3560100,3971200000
2020-07-21,95.05963134765625,3257.300048828125,96.33000183105469,3257.300048828125,97.45999908447266,3277.2900390625,94.7300033569336,3247.77001953125,95.25,3268.52001953125,4227100,4547960000
2020-07-22,95.26685333251953,3276.02001953125,96.54000091552734,3276.02001953125,97.41000366210938,3279.320068359375,95.37999725341797,3253.10009765625,95.80999755859375,3254.860107421875,4360300,4255190000
2020-07-23,95.39513397216797,3235.659912109375,96.66999816894531,3235.659912109375,97.77999877929688,3279.989990234375,95.51000213623047,3222.659912109375,95.51000213623047,3271.639892578125,4239800,4290460000
2020-07-24,94.07280731201172,3215.6298828125,95.33000183105469,3215.6298828125,97.1500015258789,3227.260009765625,93.30000305175781,3200.050048828125,95.30000305175781,3218.580078125,4790300,3894900000
2020-07-27,94.52674102783203,3239.409912109375,95.79000091552734,3239.409912109375,95.9800033569336,3241.429931640625,93.63999938964844,3214.25,94.63999938964844,3219.840087890625,3501800,3963910000
2020-07-28,93.1748046875,3218.43994140625,94.41999816894531,3218.43994140625,96.29000091552734,3243.719970703125,94.18000030517578,3216.169921875,95.76000213623047,3234.27001953125,3567400,4027890000
2020-07-29,95.41487884521484,3258.43994140625,96.69000244140625,3258.43994140625,96.75,3264.739990234375,94.44000244140625,3227.219970703125,94.70999908447266,3227.219970703125,2791700,4676300000
2020-07-30,93.40178680419922,3246.219970703125,94.6500015258789,3246.219970703125,94.77999877929688,3250.919921875,92.5,3204.1298828125,94.68000030517578,3231.760009765625,3856300,4254010000
2020-07-31,92.08932495117188,3271.1201171875,93.31999969482422,3271.1201171875,94.44999694824219,3272.169921875,92.2300033569336,3220.260009765625,94.30999755859375,3270.449951171875,4088200,5117260000
2020-08-03,92.3064193725586,3294.610107421875,93.54000091552734,3294.610107421875,94.4000015258789,3302.72998046875,92.44000244140625,3284.530029296875,93.30999755859375,3288.260009765625,2869000,4643640000
2020-08-04,91.9610366821289,3306.510009765625,93.19000244140625,3306.510009765625,93.80000305175781,3306.840087890625,92.48999786376953,3286.3701171875,93.48999786376953,3289.919921875,2415100,4621670000
2020-08-05,94.13201904296875,3327.77001953125,95.38999938964844,3327.77001953125,95.58000183105469,3330.77001953125,93.80999755859375,3317.3701171875,93.81999969482422,3317.3701171875,2844900,4732220000
2020-08-06,94.65502166748047,3349.159912109375,95.91999816894531,3349.159912109375,96.2699966430664,3351.030029296875,94.4800033569336,3318.139892578125,95.18000030517578,3323.169921875,2698800,4267490000
2020-08-07,97.85231018066406,3351.280029296875,99.16000366210938,3351.280029296875,99.30000305175781,3352.5400390625,94.94999694824219,3328.719970703125,95.29000091552734,3340.050048828125,4690700,4104860000
2020-08-10,100.27986145019531,3360.469970703125,101.62000274658203,3360.469970703125,102.6500015258789,3363.2900390625,99.26000213623047,3335.43994140625,99.48999786376953,3356.0400390625,5254800,4318570000
2020-08-11,101.89823150634766,3333.68994140625,103.26000213623047,3333.68994140625,105.69999694824219,3381.010009765625,102.95999908447266,3326.43994140625,103.98999786376953,3370.340087890625,4744000,5087650000
2020-08-12,100.33906555175781,3380.35009765625,101.68000030517578,3380.35009765625,104.80000305175781,3387.889892578125,100.68000030517578,3355.4599609375,104.76000213623047,3355.4599609375,3407800,3768560000
